"method","cv_scheme","network","prob","SE","df","asymp.LCL","asymp.UCL"
"z","representative","string",0.128875184945996,0.00120624006229634,Inf,0.126529417705154,0.131257905927708
"knn","representative","string",0.0961874982758321,0.00103525650723142,Inf,0.0941774684745307,0.0982357756648681
"wsld","representative","string",0.0923130970413174,0.00101310472795441,Inf,0.0903465395412863,0.0943180219191861
"COSNet","representative","string",0.114764095791737,0.00113565371379205,Inf,0.112556972391988,0.117008792195508
"bagsvm","representative","string",0.115159761106858,0.00113769572606096,Inf,0.112948627738137,0.117408451348577
"rf","representative","string",0.0741033703276162,0.000902330005945561,Inf,0.0723541356938781,0.0758914347443173
"svm","representative","string",0.0739391940118446,0.000901275491341443,Inf,0.072192027657106,0.0757251935472949
"pr","classic","omnipath",0.0995506362771824,0.00101225202323244,Inf,0.0975841678615787,0.101552272591079
"randomraw","classic","omnipath",0.0560470380272582,0.000739174992099154,Inf,0.0546157711287531,0.0575135310250604
"random","classic","omnipath",0.0442410300734778,0.000650405617010891,Inf,0.0429836306813939,0.0455334620807483
"EGAD","classic","omnipath",0.0959917985003748,0.000992233782909407,Inf,0.0940645858769482,0.0979542268888199
"ppr","classic","omnipath",0.140976117615501,0.00122349092769805,Inf,0.138595124244184,0.143391206231172
"raw","classic","omnipath",0.115879578577313,0.00110002586184851,Inf,0.113740934188171,0.118053078951383
"gm","classic","omnipath",0.0356389103935049,0.000579249276881464,Inf,0.0345208545237049,0.0367917977575547
"mc","classic","omnipath",0.111499240668355,0.00107710385075224,Inf,0.109405568253449,0.113627867365644
"z","classic","omnipath",0.112952168925061,0.00108475554847895,Inf,0.110843484909801,0.115095775789284
"knn","classic","omnipath",0.0839141288487959,0.000921630779754736,Inf,0.0821253374832153,0.0857382428711176
"wsld","classic","omnipath",0.0804900684985514,0.000900801247955075,Inf,0.0787421059195752,0.0822733681009801
"COSNet","classic","omnipath",0.100383649257912,0.00101688928170999,Inf,0.0984080865815593,0.102394367571256
"bagsvm","classic","omnipath",0.10073537776199,0.00101884188525028,Inf,0.0987559857111634,0.102749920152839
"rf","classic","omnipath",0.064446967741613,0.000797592307316559,Inf,0.0629012574320901,0.0660279853878193
"svm","classic","omnipath",0.0643026994443586,0.00079661717007374,Inf,0.0627588996764326,0.0658818055413685
"pr","block","omnipath",0.0973973889779204,0.000994460344802173,Inf,0.0954656052041674,0.0993639690324652
"randomraw","block","omnipath",0.0547775167187328,0.000724302452606746,Inf,0.0533751169355921,0.0562145755870183
"random","block","omnipath",0.0432266806849817,0.000636834890812824,Inf,0.04199557182221,0.0444922036356366
"EGAD","block","omnipath",0.0939074998375776,0.000974597068901444,Inf,0.0920146601385251,0.0958351675056768
"ppr","block","omnipath",0.138064235876329,0.00120469627241601,Inf,0.135719986158524,0.140442397376524
"raw","block","omnipath",0.113417628260534,0.00108167325982255,Inf,0.111314804678258,0.115555010545674
"gm","block","omnipath",0.0348146044238087,0.000566838246314492,Inf,0.0337205483036764,0.0359428365998623
"mc","block","omnipath",0.109118867992571,0.0010588787299121,Inf,0.107060756651836,0.111211616389457
"z","block","omnipath",0.110544637202931,0.00106648635186941,Inf,0.108471603923724,0.112652282720889
"knn","block","omnipath",0.0820682688488812,0.000904617706541718,Inf,0.080312601085205,0.0838588167317725
"wsld","block","omnipath",0.0787130559315711,0.000883994608679127,Inf,0.076997804737106,0.0804631861562534
"COSNet","block","omnipath",0.0982143494113691,0.000999063110833386,Inf,0.0962735408533519,0.10018994577788
"bagsvm","block","omnipath",0.0985593097608111,0.00100100134977533,Inf,0.0966147007732382,0.100538702859973
"rf","block","omnipath",0.0629998781450557,0.000781954182312164,Inf,0.0614845536568582,0.0645499801129865
"svm","block","omnipath",0.0628586315914478,0.000780991217004405,Inf,0.0613451934739251,0.0644068455398442
"pr","representative","omnipath",0.10001407217979,0.00101606822500145,Inf,0.0980401636782259,0.102023227374773
"randomraw","representative","omnipath",0.0563206197300818,0.000742373852961923,Inf,0.0548831436742188,0.0577934432849741
"random","representative","omnipath",0.0444596975314333,0.000653326642823669,Inf,0.0431966390247917,0.0457579213379632
"EGAD","representative","omnipath",0.096440441432174,0.000996017609345073,Inf,0.094505853915009,0.0984103270262601
"ppr","representative","omnipath",0.141602074070858,0.0012275112454583,Inf,0.1392132203511,0.144025061056792
"raw","representative","omnipath",0.116409203004997,0.00110395821185232,Inf,0.114262882899539,0.118590441754688
"gm","representative","omnipath",0.0358166539886453,0.000581922131655703,Inf,0.0346934293237927,0.0369748509345733
"mc","representative","omnipath",0.112011381292003,0.00108101000340546,Inf,0.109910086648572,0.114147697202753
"z","representative","omnipath",0.113470130883124,0.00108867077688891,Inf,0.111353806140627,0.115621444024304
"knn","representative","omnipath",0.0843115882054221,0.000925283617865515,Inf,0.0825156845574488,0.0861429087351605
"wsld","representative","omnipath",0.0808727415327072,0.000904410545802681,Inf,0.0791177536680443,0.0826631640133536
"COSNet","representative","omnipath",0.100850528741193,0.00102071267716942,Inf,0.0988675114725237,0.102868779618611
"bagsvm","representative","omnipath",0.101203709087551,0.00102266827510023,Inf,0.0992168564036442,0.103225789735564
"rf","representative","omnipath",0.0647587389914288,0.000800954059757078,Inf,0.0632064962850504,0.0663464023090927
"svm","representative","omnipath",0.0646138209776469,0.000799976336357932,Inf,0.0630634939503506,0.0661995677487526
